Gene_Name,CAPNS1,PFN2,PYGB,SCRN1,CCND1,HTRA1,ITGB5,RALB,TWF1,ANXA2,PKM,ACTN1,ANXA5,PTMS,CD63,RAB13,CBR1,SQSTM1,HCLS1,PTPRCAP,PTPRC,CORO1A,ARHGDIB,LAPTM5,WAS,CXCR4,LRMP,DAG1,PIR,MYB,EMP2
CGGA_1403,7.595443985,7.124741692,6.811214118,5.705701497,7.338067798,7.309794644,3.650764559,4.865918815,5.554588852,8.742848346,8.408032466,5.37816478,8.723046538,9.163070973,9.43162296,7.233044401,7.011786331,6.488964817,4.274261661,1.14404637,2.821710215,4.141596278,6.457462965,6.278914019,2.23878686,4.94204526,1.929790998,5.704041955,1.454175893,1.007195501,4.570462931
CGGA_1404,7.989706707,7.849436379,6.421896512,4.694880193,4.519793486,8.721441019,5.04701482,4.309612772,4.442280035,5.169524197,9.446773158,3.911691582,6.584511588,9.666472569,9.808545942,6.950001749,5.8928767,7.326249701,3.619413011,3.714795011,0.879705766,5.86393845,5.503984704,6.037821465,3.060047384,1.941106311,1.310340121,4.370164281,4.150559677,0.070389328,1.757023247
CGGA_1406,7.342252493,7.763278772,6.580145484,5.757023247,5.405311683,8.248449447,4.816087659,4.909773104,5.468257468,8.089741771,8.450386479,6.677367292,7.698704667,8.936726265,8.94506336,7.443855256,4.875780063,7.069745124,6.570159302,1.963474124,5.488000771,6.622344723,7.650908132,8.41869595,4.856487779,4.438292852,3.952333566,5.100557221,3.153805336,0.111031312,2.15704371
CGGA_1407,10.29756974,7.078737909,5.147306699,3.294253136,7.230452819,9.341696717,4.026800059,3.168321116,2.780310099,4.300123725,8.243221596,2.176322773,4.530445355,10.3284842,10.8070087,6.527789752,3.906890596,7.211109564,2.341985747,5.360013042,0.22650853,6.595443985,4.170726276,7.727239777,3.418189948,3.518535139,0.687060688,3.951401292,6.446752485,0.137503524,1.682573297
CGGA_1408,6.979911014,6.925762114,5.155830172,6.994692855,4.723012396,7.233427944,5.855242251,4.477677328,5.025028794,8.070281981,8.377253919,4.690417096,8.582706527,7.659639187,8.572927554,6.012792122,6.660780334,7.371471741,5.464668267,3.140778656,4.956985925,6.125568452,6.773864494,7.702796044,4.590961241,4.892391026,3.047887329,6.218781168,3.350497247,0.214124805,1.608809243
CGGA_1409,7.253611152,7.951284715,6.39609097,6.087250665,5.74092756,7.626804145,5.348728154,4.025028794,5.109360559,4.053980168,8.376429311,3.937344392,7.069852511,8.654242187,8.376038543,5.936873462,3.593353771,7.186361891,4.297925053,2.572889668,2.750606505,5.48058827,5.577730931,6.253422058,3.204766751,4.248686627,1.618238656,4.600507645,3.03562391,0.23878686,1.713695815
CGGA_1410,7.045814256,6.977394419,5.324090516,6.542722362,5.085339669,7.189231549,3.929790998,4.693208149,5.777419716,4.7382274,8.131702653,5.538848521,7.932864335,9.039714172,9.148400314,6.144658243,6.097189387,6.529040056,4.498889087,1.944858446,3.502075956,4.726831217,6.075746538,7.034303768,2.989139007,1.117695043,2.214124805,4.707082992,3.638073837,0.948600847,1.464668267
CGGA_1411,7.643711913,7.135452784,5.758089934,6.259272487,4.186659017,7.650692767,5.956521363,5.243745235,4.961160258,8.218296831,9.027574304,6.07831095,7.657711452,7.275938239,9.908482693,6.218393711,7.404971224,8.165761232,5.478324711,3.066950244,4.464668267,6.30505852,7.572359168,8.487598895,4.363871925,4.994579724,3.311793718,4.716990894,4.952333566,0.275007047,2.819668183
CGGA_1412,6.731997787,8.310703657,6.533719071,6.146492307,4.850999395,7.802322485,5.554895775,4.645009884,5.439955517,6.437793678,8.451994077,5.61970645,7.663273451,7.507001733,9.188761909,7.198592373,5.452529545,8.124121312,4.479618608,3.266036894,3.859969548,5.506208389,6.354381632,7.029452886,3.482848283,4.66618849,2.324810603,5.702934532,4.614120869,0.310340121,3.026800059
CGGA_1413,6.867031576,7.652056204,6.511594542,6.415150205,4.150559677,8.203445892,3.419538892,5.192588722,5.135042286,3.673556424,8.309430878,3.992768431,6.33860269,7.361505198,7.877007993,5.443275112,6.494735605,6.748863715,2.518535139,1.831877241,1.959770155,4.566206293,4.177120503,5.173926932,1.989139007,2.319039816,2.163498732,5.113950482,2.495695163,0.35614381,1.89917563
CGGA_1415,7.654349609,6.709566354,6.172327492,5.756756451,6.246788094,7.763411574,6.848497755,5.828834649,5.678916987,9.249848246,10.72375479,6.173727099,8.027905997,7.605257263,10.73479428,7.741466986,7.351027552,9.132679654,6.936520163,3.249445341,5.420212891,7.320213877,7.77478706,8.847057346,5.219942914,4.855491443,3.407352751,4.675815931,4.13996057,0.23878686,1.839959587
CGGA_1417,6.641835002,7.647098607,6.348374075,6.324270572,6.689997971,7.677790101,3.762348816,4.310340121,5.294620749,4.918863237,8.46943832,4.34553831,6.146695948,8.373778695,8.0519702,5.555202634,5.457134594,6.677508242,3.559491813,1.967168608,2.582556003,4.540399306,4.592158002,4.93593114,2.195347598,2.889473543,2.021479727,5.176322773,3.388189537,0.344828497,2.456806149
CGGA_1418,4.547203025,5.791814071,3.898208353,3.203201156,3.498250868,3.422233001,3.500802053,1.613531653,1.292781749,4.256255873,7.130313146,3.17951105,3.526068812,5.58165253,5.295723025,1.974529312,4.129283017,5.513490746,3.09423607,1.084064265,1.448900951,3.046141782,2.198494154,3.709290636,1.613531653,1.565597176,0.773996325,3.403267722,0.650764559,0.678071905,1.811471031
CGGA_1419,7.841595796,6.444766441,5.839455765,5.833143096,4.568032105,7.462870312,5.910252963,4.462706751,4.474436043,6.907371414,8.937668068,6.348019909,7.592232767,8.579089615,9.546701573,6.495375381,7.238022518,8.129231491,4.403267722,3.514753498,1.613531653,5.751677946,5.794675788,5.888743249,3.981852653,2.809414444,1.739848103,5.618532334,3.782408565,0.137503524,1.641546029
CGGA_1420,8.844140814,7.224291149,6.159467729,5.373300197,3.021479727,7.976420921,4.955591792,4.706530553,2.99095486,4.929317595,9.927644647,4.725195817,5.335569006,9.951984034,9.247500337,5.800123353,7.36719631,7.720757277,4.058316496,3.943921327,0.871843649,6.761950079,4.421559945,5.118941073,3.124328135,2.931683057,3.3950628,2.98550043,4.248686627,0.250961574,1.510961919
CGGA_1421,10.41006969,8.028127082,4.452858965,4.487357715,4.338424415,8.752748591,3.534808661,4.728464765,2.709290636,3.339137385,9.307496833,3.184280294,4.517905554,9.247120518,9.615648027,4.549669171,7.34739991,7.10213319,2.733354341,5.068670811,0.622930351,7.094658343,4.506525779,6.752347192,2.941106311,1.794935663,1.416839742,3.042644337,5.722739236,0.084064265,1.778208576
CGGA_1422,4.282439805,3.389566812,3.40053793,3.998195503,3.209453366,3.75595577,3.368768349,1.887525271,0.86393845,4.336997417,7.123811021,4.14974712,4.285402219,4.978653265,6.453846774,2.580145484,3.124328135,5.590362488,2.897240426,1.207892852,0.575312331,2.746312766,1.956056652,3.033863452,1.117695043,0.739848103,0.084064265,3.17951105,0.722466024,0.070389328,1.575312331
CGGA_1424,3.007195501,4.766065051,4.474436043,2.998195503,3.021479727,5.417852515,2.09423607,1.655351829,0.773996325,1.646162657,5.984817174,1.427606173,2.063502942,4.448240225,4.590961241,1.40599236,2.558267634,4.992768431,1.748461233,1.111031312,0.275007047,2.063502942,0.495695163,1.350497247,0.176322773,0.575312331,0,3,0.263034406,0.070389328,0.35614381
CGGA_1425,8.695089062,6.29480452,5.419538892,5.270155139,6.271649772,7.948834426,4.883132016,3.777156666,5.241077458,6.226315849,8.166615031,4.015247774,6.480911346,10.16108148,10.23334405,6.448074996,6.451211112,6.134631671,3.124328135,4.947198584,0.855989697,4.699884729,6.71259578,5.377470843,2.737686761,3.723558561,0.963474124,4.783456654,5.226893814,0.970853654,3.875780063
CGGA_1426,7.788881432,7.652127928,6.634448062,5.705425039,5.517905554,8.749031382,5.482202926,4.880685525,5.584060534,8.750606505,9.203201156,5.454175893,8.622893756,9.654725523,11.11241996,7.771225336,7.603403804,8.146797758,4.131754091,2.432959407,1.843983844,5.245267467,6.555662799,6.575312331,3.139142019,3.148934105,1.831877241,5.487357715,3.241840184,0.526068812,3.678071905
CGGA_1429,6.571525131,8.121999663,6.085976949,5.994579724,7.469071952,8.706737742,4.469885976,4.521678952,5.626731151,5.35473424,9.214246256,5.092545742,6.328944145,9.429155634,8.816343705,5.832890014,3.609991295,7.406587689,3.455491621,1.887525271,1.992768431,4.768713657,5.6794801,5.634012356,2.301587647,4.04176865,1.23878686,5.605849867,1.584962501,0.464668267,1.604071324
CGGA_1430,7.86950131,6.448074996,6.364222221,6.007644031,5.818390444,4.92552477,4.650190123,5.310340121,5.613826291,5.887525271,8.309794644,5.085764554,6.829976373,9.655977862,9.464729521,7.516251583,6.280213996,5.948834426,1.608809243,1.333423734,0.321928095,3.821710215,4.40053793,3.386810946,1.298658316,2.618238656,0.321928095,4.925999419,0.367371066,2.073820233,2.867896464
CGGA_1431,8.77774846,8.011674533,5.499208091,4.923624611,4.265286858,8.491412205,5.155425432,3.329123596,3.559491813,5.203201156,8.113429635,2.364572432,6.568336182,9.396112383,9.695350106,6.675392543,5.976134473,6.628044483,4.102658131,4.766595162,0.895302621,5.908572759,5.647890091,6.900746075,3.928844037,3.001802243,1.575312331,4.555816155,4.639810978,0.070389328,1.773996325
CGGA_1433,7.918982463,5.245647774,5.871597266,6.057233635,4.580748492,8.631795481,6.373300197,4.645009884,5.273888824,8.851561666,9.420949717,7.410239331,8.348860911,9.25200306,10.68210798,7.954312652,7.158559199,8.032817163,5.658211483,3.187451054,2.996388746,6.385603598,6.958610712,7.624027763,4.329123596,5.409051439,1.627606838,5.590661896,4.170726276,0.124328135,3.308885057
CGGA_1434,7.779062689,6.65621032,6.314333994,5.408032466,4.485426827,7.429866991,6.183288001,4.838447593,5.004501392,7.86727874,9.183263185,7.230452819,8.606368196,8.992456886,10.36680303,7.688530077,7.583007527,8.712802101,6.186659017,3.818646083,3.13422094,6.21159632,6.869254527,7.711907833,5.047887329,3.92314918,2.625270489,5.203592714,4.526068812,0.189033824,2.333423734
CGGA_1435,7.531537419,7.67912818,5.622637567,5.955126781,4.985044962,7.529742877,4.22881869,4.211790976,4.625270489,6.566662963,8.545620932,5.523561956,7.081936082,10.33887006,9.252996505,7.443275112,5.494735605,7.03496399,5.751677946,3.641546029,2.545968369,6.414642958,6.324450605,7.028790136,4.442943496,3.890446693,1.98550043,5.274261661,2.97819563,0.214124805,1.735522177
CGGA_1437,7.929790998,7.683766623,5.825022364,5.883620816,3.580145484,7.911391988,4.06091205,4.971773447,3.881664619,4.710944155,9.127968535,5.11727946,5.836934011,8.793765857,8.804034193,5.326249701,6.232852592,7.03815081,3.475084883,3.17951105,1.350497247,6.142413438,5.12763328,5.294253136,2.604071324,3.060047384,2.229587923,3.670160514,4.39848719,0.344828497,2.039138394
CGGA_1440,6.680465018,7.274168461,6.757556689,5.41040895,4.014355293,9.556314449,5.38024459,4.379898164,4.679198571,4.363871925,8.614746647,3.025028794,6.659068275,8.695019442,9.125258473,6.195741293,6.253800221,6.910013053,3.621758857,3.736604875,1.895302621,5.45779126,5.292045492,5.843732657,3.440952198,4.178714641,2.010779839,5.18070484,3.682573297,0.084064265,1.384049807
CGGA_1441,9.171902342,5.814294058,4.454175893,4.66448284,3.005399988,8.318271643,6.743084056,4.29351763,4.306699707,9.096688804,9.175200218,6.185668359,7.830673649,9.881542269,11.43562339,8.179112901,6.94356975,8.025305698,6.45795538,5.368419155,2.370164281,6.943804144,8.104493922,8.838447593,5.607034346,6.503507754,2.336283388,4.35473424,5.234961095,0.214124805,2.799087306
CGGA_1443,9.056610622,5.494735605,5.980710829,4.566815154,3.845991771,7.817431397,5.802710219,3.891419187,4.297191417,9.109621742,9.442445929,5.947666157,8.179013346,8.133501878,11.87055352,7.395405605,7.714176816,8.743555359,5.75141016,5.810957159,2.859969548,7.084489525,8.167819536,9.511060785,5.604071324,5.616475329,2.017921908,3.635754391,6.041111535,1.021479727,1.378511623
CGGA_1444,7.563005553,8.641437649,5.341274184,5.041330607,5.131342539,7.369553727,6.846117173,4.66448284,5.251340383,7.094869433,8.88148109,4.438292852,7.504461497,9.246408087,9.478324711,6.960465374,7.194756854,7.409900033,3.930737338,2.424922088,1.819668183,5.434294618,6.268097486,6.633867092,3.033863452,3.671293372,1.526068812,5.586164246,4.280213996,1.580145484,2.063502942
CGGA_1445,5.435961895,4.083213368,4.261530815,0.367371066,5.303780748,4.314696526,2.298658316,1.541019153,1.618238656,3.730096466,7.619119511,3.654206378,1.659924558,6.511278265,5.333423734,2.039138394,2.682573297,5.013015536,2.918386234,1.214124805,0.250961574,3.651912745,0.879705766,2.169925001,1.10433666,0.23878686,0.124328135,1.996388746,0.176322773,0.432959407,3.047887329
CGGA_1446,3.574101508,5.166715445,4.665620164,2.970853654,2.272023189,3.264536431,1.937344392,1.811471031,0.687060688,0.918386234,5.59275601,1.201633861,2.10433666,4.848497755,4.181102551,1.50589093,1.627606838,4.687620632,1.195347598,0.722466024,0.555816155,2.077242999,0.704871964,1.084064265,0.432959407,0.111031312,0.286881148,2.724650272,0.555816155,0.014355293,0.622930351
CGGA_1447,3.935459748,4.468583317,3.764473551,3.718087584,3.12763328,3.723558561,2.788685711,2.232660757,0.389566812,1.378511623,6.192588722,2.528571319,2.214124805,4.448900951,4.315421316,0.695993813,3.357552005,5.240314329,1.831877241,0.584962501,0.650764559,3.454175893,1.778208576,2.039138394,0.782408565,0.5360529,0.839959587,1.839959587,1.028569152,0.028569152,0.956056652
CGGA_1450,7.044721967,8.897966432,6.737281149,6.154615611,7.887829862,7.930264245,4.014355293,4.475084883,4.73714592,4.557655155,9.290871306,5.423241996,6.924931239,9.419433551,8.929347187,6.246408087,2.72900887,7.224098172,3.44625623,1.859969548,1.570462931,3.921245889,5.69432306,3.378511623,2.23878686,3.311793718,1.790772038,5.203201156,0.765534746,0.422233001,1.163498732
CGGA_1451,9.207331629,6.771357409,5.054414388,5.349436052,4.197708158,8.292045492,7.385776138,4.279471296,4.486714373,9.296182058,10.13108526,5.145269857,7.451870479,10.58359994,11.40378431,8.097558127,7.209453366,7.697801615,5.779522387,5.065227623,1.959770155,6.488804187,7.279749853,7.909533115,4.788685711,5.031218731,1.49057013,4.82527683,4.332707934,0.35614381,3.313245852
